,Open,High,Low,Close,Volume,Datetime
2024-07-01 04:00:00,210.8577,211.6567,210.8577,211.4670,15161,2024-07-01 04:00:00
2024-07-01 04:15:00,211.4570,211.6068,211.4570,211.5669,3328,2024-07-01 04:15:00
2024-07-01 04:30:00,211.5768,211.6567,210.8277,210.9576,17489,2024-07-01 04:30:00
2024-07-01 04:45:00,210.9875,211.1773,210.7578,210.8477,23593,2024-07-01 04:45:00
2024-07-01 05:00:00,210.8377,210.9376,210.2284,210.2683,18150,2024-07-01 05:00:00
2024-07-01 05:15:00,210.2983,210.7977,210.2584,210.5081,11295,2024-07-01 05:15:00
2024-07-01 05:30:00,210.4681,211.1573,210.3782,211.0275,8053,2024-07-01 05:30:00
2024-07-01 05:45:00,210.9576,211.0375,210.6879,210.8976,4091,2024-07-01 05:45:00
2024-07-01 06:00:00,210.8976,211.3771,210.8976,211.2272,5372,2024-07-01 06:00:00
2024-07-01 06:15:00,211.2372,211.2372,210.7578,211.0574,4256,2024-07-01 06:15:00
2024-07-01 06:30:00,211.0574,211.1373,210.9076,211.0874,1670,2024-07-01 06:30:00
2024-07-01 06:45:00,211.0874,211.1373,210.8277,210.8277,4005,2024-07-01 06:45:00
2024-07-01 07:00:00,210.8776,211.1274,210.8677,211.0774,15817,2024-07-01 07:00:00
2024-07-01 07:15:00,211.0774,211.2872,211.0375,211.2872,16007,2024-07-01 07:15:00
2024-07-01 07:30:00,211.2572,211.4070,211.1174,211.4070,19809,2024-07-01 07:30:00
2024-07-01 07:45:00,211.4070,211.4470,211.3271,211.3571,11041,2024-07-01 07:45:00
2024-07-01 08:00:00,211.3671,212.1062,210.2554,211.2222,114135,2024-07-01 08:00:00
2024-07-01 08:15:00,211.2572,211.2572,210.3782,211.0974,28040,2024-07-01 08:15:00
2024-07-01 08:30:00,211.1573,215.5922,210.3483,211.1074,16911,2024-07-01 08:30:00
2024-07-01 08:45:00,211.0874,211.2872,210.3782,211.2572,49032,2024-07-01 08:45:00
2024-07-01 09:00:00,211.2572,211.5069,211.1773,211.3221,46585,2024-07-01 09:00:00
2024-07-01 09:15:00,211.3571,212.0063,210.3782,211.8565,114798,2024-07-01 09:15:00
2024-07-01 09:30:00,211.8465,213.7943,211.6767,213.2749,5177101,2024-07-01 09:30:00
2024-07-01 09:45:00,213.2748,213.3948,212.0363,212.9053,2645488,2024-07-01 09:45:00
2024-07-01 10:00:00,212.9053,213.6345,212.5857,212.6956,2314848,2024-07-01 10:00:00
2024-07-01 10:15:00,212.6856,215.3425,212.5357,214.9829,4141360,2024-07-01 10:15:00
2024-07-01 10:30:00,214.9729,215.0928,213.8442,214.3287,2159429,2024-07-01 10:30:00
2024-07-01 10:45:00,214.3337,215.1252,214.0939,215.1128,2110033,2024-07-01 10:45:00
