,Open,High,Low,Close,Volume,Datetime
2024-08-01 04:00:00,5.7000,5.7500,5.7000,5.7500,805,2024-08-01 04:00:00
2024-08-01 04:15:00,5.7100,5.7100,5.7100,5.7100,500,2024-08-01 04:15:00
2024-08-01 04:30:00,5.7100,5.7100,5.7100,5.7100,20,2024-08-01 04:30:00
2024-08-01 05:00:00,5.7300,5.7300,5.7300,5.7300,20,2024-08-01 05:00:00
2024-08-01 05:30:00,5.7500,5.7500,5.6900,5.6900,2,2024-08-01 05:30:00
2024-08-01 06:00:00,5.7100,5.7100,5.7100,5.7100,50,2024-08-01 06:00:00
2024-08-01 06:15:00,5.7100,5.7100,5.7100,5.7100,5,2024-08-01 06:15:00
2024-08-01 07:00:00,5.7500,5.7500,5.7300,5.7300,2748,2024-08-01 07:00:00
2024-08-01 07:15:00,5.7400,5.7500,5.7200,5.7200,311,2024-08-01 07:15:00
2024-08-01 07:30:00,5.7250,5.7250,5.7200,5.7200,386,2024-08-01 07:30:00
2024-08-01 07:45:00,5.7400,5.7450,5.7400,5.7450,5649,2024-08-01 07:45:00
2024-08-01 08:00:00,5.7498,5.7897,5.7200,5.7300,30401,2024-08-01 08:00:00
2024-08-01 08:15:00,5.7500,5.7500,5.7300,5.7500,13223,2024-08-01 08:15:00
2024-08-01 08:30:00,5.7500,5.7600,5.7400,5.7599,17034,2024-08-01 08:30:00
2024-08-01 08:45:00,5.7500,5.7600,5.7500,5.7600,1496,2024-08-01 08:45:00
2024-08-01 09:00:00,5.7600,5.7600,5.7400,5.7500,3104,2024-08-01 09:00:00
2024-08-01 09:15:00,5.7500,5.7500,5.7300,5.7300,24949,2024-08-01 09:15:00
2024-08-01 09:30:00,5.7300,5.7500,5.7200,5.7471,409343,2024-08-01 09:30:00
2024-08-01 09:45:00,5.7441,5.7600,5.7300,5.7600,303506,2024-08-01 09:45:00
2024-08-01 10:00:00,5.7400,5.7600,5.7200,5.7400,297742,2024-08-01 10:00:00
2024-08-01 10:15:00,5.7350,5.7350,5.6950,5.7000,7279845,2024-08-01 10:15:00
2024-08-01 10:30:00,5.7000,5.7300,5.6900,5.7050,5212033,2024-08-01 10:30:00
2024-08-01 10:45:00,5.7050,5.7100,5.6800,5.6800,14369009,2024-08-01 10:45:00
2024-08-01 11:00:00,5.6750,5.6750,5.6450,5.6500,7240849,2024-08-01 11:00:00
2024-08-01 11:15:00,5.6499,5.6550,5.5800,5.5850,438290,2024-08-01 11:15:00
2024-08-01 11:30:00,5.5809,5.5900,5.5600,5.5817,967809,2024-08-01 11:30:00
2024-08-01 11:45:00,5.5803,5.5999,5.5650,5.5800,381959,2024-08-01 11:45:00
2024-08-01 12:00:00,5.5800,5.5999,5.5609,5.5901,305834,2024-08-01 12:00:00
2024-08-01 12:15:00,5.5900,5.6050,5.5717,5.5800,408695,2024-08-01 12:15:00
2024-08-01 12:30:00,5.5859,5.5900,5.5600,5.5600,560772,2024-08-01 12:30:00
2024-08-01 12:45:00,5.5600,5.5800,5.5500,5.5750,189886,2024-08-01 12:45:00
2024-08-01 13:00:00,5.5703,5.5750,5.5401,5.5514,287981,2024-08-01 13:00:00
2024-08-01 13:15:00,5.5550,5.5600,5.5400,5.5555,577499,2024-08-01 13:15:00
2024-08-01 13:30:00,5.5597,5.5679,5.5200,5.5250,510693,2024-08-01 13:30:00
2024-08-01 13:45:00,5.5250,5.6001,5.5200,5.6001,458892,2024-08-01 13:45:00
2024-08-01 14:00:00,5.6014,5.6099,5.5715,5.6050,621518,2024-08-01 14:00:00
2024-08-01 14:15:00,5.6037,5.6150,5.5800,5.5850,469948,2024-08-01 14:15:00
2024-08-01 14:30:00,5.5801,5.5900,5.5600,5.5650,237020,2024-08-01 14:30:00
2024-08-01 14:45:00,5.5611,5.5800,5.5600,5.5701,206637,2024-08-01 14:45:00
2024-08-01 15:00:00,5.5750,5.6099,5.5750,5.6020,326844,2024-08-01 15:00:00
2024-08-01 15:15:00,5.6099,5.6200,5.5950,5.6100,200849,2024-08-01 15:15:00
2024-08-01 15:30:00,5.6197,5.6299,5.6001,5.6127,255274,2024-08-01 15:30:00
2024-08-01 15:45:00,5.6100,5.6300,5.6100,5.6250,168156,2024-08-01 15:45:00
2024-08-01 16:00:00,5.6200,5.6400,5.6100,5.6392,17060,2024-08-01 16:00:00
2024-08-01 16:15:00,5.6400,5.6400,5.6104,5.6400,1312,2024-08-01 16:15:00
2024-08-01 16:30:00,5.6215,5.7000,5.6215,5.7000,762,2024-08-01 16:30:00
2024-08-01 16:45:00,5.7000,5.7600,5.7000,5.7600,1545,2024-08-01 16:45:00
2024-08-01 17:00:00,5.7598,5.7600,5.6500,5.7600,431,2024-08-01 17:00:00
2024-08-01 17:15:00,5.7591,5.7600,5.7400,5.7600,1093,2024-08-01 17:15:00
2024-08-01 17:30:00,5.7593,5.7600,5.7593,5.7600,4865,2024-08-01 17:30:00
2024-08-01 17:45:00,5.7600,5.7700,5.7000,5.7000,1568,2024-08-01 17:45:00
2024-08-01 18:00:00,5.7200,5.8000,5.7200,5.7800,509,2024-08-01 18:00:00
2024-08-01 18:15:00,5.8000,5.8400,5.8000,5.8381,2623,2024-08-01 18:15:00
2024-08-01 18:30:00,5.6200,5.8500,5.6200,5.7500,674,2024-08-01 18:30:00
2024-08-01 18:45:00,5.8298,5.8298,5.7600,5.8296,61,2024-08-01 18:45:00
2024-08-01 19:00:00,5.8100,5.8100,5.7600,5.7600,104,2024-08-01 19:00:00
2024-08-01 19:15:00,5.7900,5.8000,5.7800,5.7800,281,2024-08-01 19:15:00
2024-08-01 19:30:00,5.7700,5.7800,5.7700,5.7800,1426,2024-08-01 19:30:00
2024-08-01 19:45:00,5.8300,5.8300,5.8300,5.8300,1154,2024-08-01 19:45:00
2024-08-01 20:00:00,5.6200,5.6200,5.6200,5.6200,343,2024-08-01 20:00:00
2024-08-02 04:00:00,5.6500,5.6900,5.6500,5.6900,1764,2024-08-02 04:00:00
2024-08-02 04:15:00,5.6900,5.6900,5.6900,5.6900,300,2024-08-02 04:15:00
2024-08-02 04:30:00,5.7100,5.7100,5.6900,5.6900,702,2024-08-02 04:30:00
2024-08-02 05:00:00,5.7000,5.7100,5.7000,5.7000,6002,2024-08-02 05:00:00
2024-08-02 06:15:00,5.7100,5.7400,5.7100,5.7400,1366,2024-08-02 06:15:00
2024-08-02 06:30:00,5.7300,5.7300,5.7300,5.7300,600,2024-08-02 06:30:00
2024-08-02 07:00:00,5.7500,5.7500,5.7500,5.7500,201,2024-08-02 07:00:00
2024-08-02 07:15:00,5.7500,5.7500,5.7400,5.7400,2325,2024-08-02 07:15:00
2024-08-02 07:30:00,5.7300,5.7300,5.7100,5.7100,251,2024-08-02 07:30:00
2024-08-02 07:45:00,5.7400,5.7400,5.7400,5.7400,133,2024-08-02 07:45:00
2024-08-02 08:00:00,5.7599,5.7600,5.7200,5.7500,5139,2024-08-02 08:00:00
2024-08-02 08:15:00,5.7300,5.7500,5.7300,5.7300,1325,2024-08-02 08:15:00
2024-08-02 08:30:00,5.7000,5.7300,5.6910,5.7200,1344,2024-08-02 08:30:00
2024-08-02 08:45:00,5.7001,5.7500,5.7000,5.7497,1478,2024-08-02 08:45:00
2024-08-02 09:00:00,5.7499,5.7500,5.7299,5.7403,125149,2024-08-02 09:00:00
2024-08-02 09:15:00,5.7400,5.7500,5.7400,5.7500,102303,2024-08-02 09:15:00
2024-08-02 09:30:00,5.7500,5.8100,5.7500,5.8097,598215,2024-08-02 09:30:00
2024-08-02 09:45:00,5.8050,5.8100,5.7750,5.7850,1076034,2024-08-02 09:45:00
2024-08-02 10:00:00,5.7850,5.7999,5.7200,5.7300,731122,2024-08-02 10:00:00
2024-08-02 10:15:00,5.7350,5.7600,5.7214,5.7590,325720,2024-08-02 10:15:00
2024-08-02 10:30:00,5.7550,5.7700,5.6600,5.6600,307315,2024-08-02 10:30:00
2024-08-02 10:45:00,5.6650,5.6750,5.5901,5.5902,302811,2024-08-02 10:45:00
2024-08-02 11:00:00,5.5950,5.6200,5.5401,5.5401,710459,2024-08-02 11:00:00
2024-08-02 11:15:00,5.5450,5.5800,5.5301,5.5650,547258,2024-08-02 11:15:00
2024-08-02 11:30:00,5.5651,5.6199,5.5600,5.6150,639105,2024-08-02 11:30:00
2024-08-02 11:45:00,5.6164,5.6400,5.6051,5.6250,415834,2024-08-02 11:45:00
2024-08-02 12:00:00,5.6200,5.6350,5.6000,5.6050,347479,2024-08-02 12:00:00
2024-08-02 12:15:00,5.6050,5.6200,5.5900,5.5900,289184,2024-08-02 12:15:00
2024-08-02 12:30:00,5.5900,5.6299,5.5800,5.6200,137693,2024-08-02 12:30:00
2024-08-02 12:45:00,5.6190,5.6299,5.6000,5.6000,462454,2024-08-02 12:45:00
2024-08-02 13:00:00,5.6050,5.6200,5.5900,5.6101,275622,2024-08-02 13:00:00
2024-08-02 13:15:00,5.6150,5.6200,5.5950,5.6000,389056,2024-08-02 13:15:00
2024-08-02 13:30:00,5.5950,5.6199,5.5950,5.6110,164235,2024-08-02 13:30:00
2024-08-02 13:45:00,5.6100,5.6100,5.5800,5.5850,160334,2024-08-02 13:45:00
2024-08-02 14:00:00,5.5800,5.5900,5.5700,5.5800,257070,2024-08-02 14:00:00
2024-08-02 14:15:00,5.5785,5.5999,5.5750,5.5850,347036,2024-08-02 14:15:00
2024-08-02 14:30:00,5.5836,5.5999,5.5700,5.5799,228766,2024-08-02 14:30:00
2024-08-02 14:45:00,5.5702,5.5800,5.5650,5.5750,191649,2024-08-02 14:45:00
2024-08-02 15:00:00,5.5712,5.5799,5.5500,5.5600,253938,2024-08-02 15:00:00
2024-08-02 15:15:00,5.5570,5.5799,5.5500,5.5700,126062,2024-08-02 15:15:00
2024-08-02 15:30:00,5.5800,5.5800,5.5418,5.5599,232602,2024-08-02 15:30:00
2024-08-02 15:45:00,5.5550,5.5600,5.5400,5.5550,376554,2024-08-02 15:45:00
2024-08-02 16:00:00,5.5600,5.6000,5.5550,5.5800,27205,2024-08-02 16:00:00
2024-08-02 16:15:00,5.5605,5.5896,5.5000,5.5000,42004,2024-08-02 16:15:00
2024-08-02 16:30:00,5.5600,5.5600,5.5300,5.5396,1193,2024-08-02 16:30:00
2024-08-02 16:45:00,5.5396,5.5400,5.5200,5.5300,869,2024-08-02 16:45:00
2024-08-02 17:00:00,5.5499,5.5600,5.5000,5.5000,1810910,2024-08-02 17:00:00
2024-08-02 17:15:00,5.4800,5.5200,5.4700,5.4700,2893,2024-08-02 17:15:00
