,Open,High,Low,Close,Volume,Datetime
2024-08-01 04:00:00,224.0125,224.0125,222.3744,222.6841,24037,2024-08-01 04:00:00
2024-08-01 04:15:00,222.6741,223.0736,222.4444,222.6241,14250,2024-08-01 04:15:00
2024-08-01 04:30:00,222.6142,222.9638,222.5043,222.7340,8707,2024-08-01 04:30:00
2024-08-01 04:45:00,222.7240,222.9438,222.6042,222.9438,4495,2024-08-01 04:45:00
2024-08-01 05:00:00,222.8838,223.3333,222.8838,223.1036,9224,2024-08-01 05:00:00
2024-08-01 05:15:00,223.1435,223.1435,223.0237,223.0936,3245,2024-08-01 05:15:00
2024-08-01 05:30:00,223.1036,223.4332,223.0137,223.4332,5287,2024-08-01 05:30:00
2024-08-01 05:45:00,223.4332,223.4432,223.2934,223.3833,7629,2024-08-01 05:45:00
2024-08-01 06:00:00,223.3633,223.5830,223.3433,223.5131,5283,2024-08-01 06:00:00
2024-08-01 06:15:00,223.5131,223.6130,223.3933,223.6030,6156,2024-08-01 06:15:00
2024-08-01 06:30:00,223.6030,223.7329,223.4732,223.6330,11927,2024-08-01 06:30:00
2024-08-01 06:45:00,223.6330,223.8427,223.5531,223.7129,7830,2024-08-01 06:45:00
2024-08-01 07:00:00,223.7329,224.0925,223.6430,223.9726,41324,2024-08-01 07:00:00
2024-08-01 07:15:00,223.9826,224.4820,223.9426,224.2423,40905,2024-08-01 07:15:00
2024-08-01 07:30:00,224.2922,224.6119,224.2323,224.6119,32834,2024-08-01 07:30:00
2024-08-01 07:45:00,224.4221,224.5819,223.8427,223.9926,25749,2024-08-01 07:45:00
2024-08-01 08:00:00,223.3945,224.6218,221.8251,224.0425,137966,2024-08-01 08:00:00
2024-08-01 08:15:00,224.0425,224.3422,223.8927,224.2323,33845,2024-08-01 08:15:00
2024-08-01 08:30:00,224.2323,224.6218,223.8427,224.0175,90967,2024-08-01 08:30:00
2024-08-01 08:45:00,223.9926,224.4221,221.2507,224.2023,72463,2024-08-01 08:45:00
2024-08-01 09:00:00,224.2023,224.4820,223.8627,224.1724,67907,2024-08-01 09:00:00
2024-08-01 09:15:00,224.1923,224.2423,223.8128,224.0425,102003,2024-08-01 09:15:00
2024-08-01 09:30:00,224.1124,224.2223,222.3045,222.7940,3356504,2024-08-01 09:30:00
2024-08-01 09:45:00,222.8239,224.0425,222.8239,224.0225,2409903,2024-08-01 09:45:00
2024-08-01 10:00:00,223.9826,224.0525,222.6941,222.8988,2140807,2024-08-01 10:00:00
2024-08-01 10:15:00,222.9138,223.1336,221.0060,221.0260,1850408,2024-08-01 10:15:00
2024-08-01 10:30:00,221.0160,221.4755,220.3568,220.8462,2222643,2024-08-01 10:30:00
2024-08-01 10:45:00,220.8262,221.1758,220.0973,220.7313,1444372,2024-08-01 10:45:00
2024-08-01 11:00:00,220.7463,220.9211,219.8673,220.1670,1458061,2024-08-01 11:00:00
2024-08-01 11:15:00,220.1770,220.5565,219.8573,220.2768,1184990,2024-08-01 11:15:00
2024-08-01 11:30:00,220.3068,220.5965,219.0283,219.0782,1388805,2024-08-01 11:30:00
2024-08-01 11:45:00,219.0882,219.8673,218.9584,219.5477,1019757,2024-08-01 11:45:00
2024-08-01 12:00:00,219.5378,219.8173,219.3979,219.6618,894353,2024-08-01 12:00:00
2024-08-01 12:15:00,219.6476,219.9173,218.7686,219.0682,1175025,2024-08-01 12:15:00
2024-08-01 12:30:00,219.0882,219.2480,218.2791,218.5179,1094386,2024-08-01 12:30:00
2024-08-01 12:45:00,218.4989,218.8084,218.2042,218.4889,1381573,2024-08-01 12:45:00
2024-08-01 13:00:00,218.4689,218.6487,217.9295,218.0344,896569,2024-08-01 13:00:00
