,Open,High,Low,Close,Volume,Datetime
2024-06-03 04:00:00,192.2291,193.0881,192.2291,192.7285,53338,2024-06-03 04:00:00
2024-06-03 04:15:00,192.6885,192.7385,192.6186,192.6286,5136,2024-06-03 04:15:00
2024-06-03 04:30:00,192.6286,192.9682,192.6286,192.7784,16116,2024-06-03 04:30:00
2024-06-03 04:45:00,192.7685,192.9283,192.6985,192.8883,10402,2024-06-03 04:45:00
2024-06-03 05:00:00,192.8783,192.8883,192.7185,192.8084,9298,2024-06-03 05:00:00
2024-06-03 05:15:00,192.7784,192.8584,192.7285,192.7485,17100,2024-06-03 05:15:00
2024-06-03 05:30:00,192.7585,192.8584,192.7385,192.8084,11356,2024-06-03 05:30:00
2024-06-03 05:45:00,192.8084,192.8184,192.6386,192.7685,8574,2024-06-03 05:45:00
2024-06-03 06:00:00,192.7784,192.8284,192.7485,192.7784,4288,2024-06-03 06:00:00
2024-06-03 06:15:00,192.7884,192.8683,192.7784,192.8284,4161,2024-06-03 06:15:00
2024-06-03 06:30:00,192.7884,192.8584,192.7884,192.8284,2735,2024-06-03 06:30:00
2024-06-03 06:45:00,192.8184,192.8284,192.5487,192.6686,15137,2024-06-03 06:45:00
2024-06-03 07:00:00,192.6386,192.7784,192.4888,192.6985,28406,2024-06-03 07:00:00
2024-06-03 07:15:00,192.6985,192.7285,192.4788,192.6286,12819,2024-06-03 07:15:00
2024-06-03 07:30:00,192.6286,192.7784,192.3889,192.5887,14252,2024-06-03 07:30:00
2024-06-03 07:45:00,192.6286,192.8783,192.5987,192.7585,14729,2024-06-03 07:45:00
2024-06-03 08:00:00,192.5887,193.3178,191.5499,192.6885,103398,2024-06-03 08:00:00
2024-06-03 08:15:00,192.7085,192.8284,192.6286,192.8284,38128,2024-06-03 08:15:00
2024-06-03 08:30:00,192.7685,192.7784,192.0293,192.6736,29135,2024-06-03 08:30:00
2024-06-03 08:45:00,192.6586,192.7485,192.5887,192.5987,65115,2024-06-03 08:45:00
2024-06-03 09:00:00,192.5787,192.7285,192.4788,192.6386,23178,2024-06-03 09:00:00
2024-06-03 09:15:00,192.6486,192.8983,191.0854,192.7884,126877,2024-06-03 09:15:00
2024-06-03 09:30:00,192.6786,193.6774,192.2990,193.6474,5268779,2024-06-03 09:30:00
2024-06-03 09:45:00,193.6574,194.3367,192.7784,193.8872,3915327,2024-06-03 09:45:00
2024-06-03 10:00:00,193.9071,194.3466,193.7773,194.3367,2449900,2024-06-03 10:00:00
2024-06-03 10:15:00,194.3466,194.7662,194.3167,194.6113,2557766,2024-06-03 10:15:00
2024-06-03 10:30:00,194.6113,194.6962,193.9071,194.4066,2141610,2024-06-03 10:30:00
2024-06-03 10:45:00,194.3966,194.4166,193.6874,193.7274,1700265,2024-06-03 10:45:00
2024-06-03 11:00:00,193.7174,194.6663,193.3578,193.6075,1198676,2024-06-03 11:00:00
2024-06-03 11:15:00,193.6225,194.2068,193.5176,193.9071,1429144,2024-06-03 11:15:00
2024-06-03 11:30:00,193.8972,194.1669,193.6375,194.0470,1219467,2024-06-03 11:30:00
2024-06-03 11:45:00,194.0470,194.1569,193.4377,193.7074,1116132,2024-06-03 11:45:00
2024-06-03 12:00:00,193.6976,193.8672,193.0681,193.3177,1382578,2024-06-03 12:00:00
2024-06-03 12:15:00,193.3078,193.4385,193.0182,193.0675,1063856,2024-06-03 12:15:00
2024-06-03 12:30:00,193.0581,193.1480,192.6985,193.0481,1124189,2024-06-03 12:30:00
2024-06-03 12:45:00,193.0381,193.1280,192.7884,193.0332,796278,2024-06-03 12:45:00
2024-06-03 13:00:00,193.0332,193.0681,192.6186,192.9033,961392,2024-06-03 13:00:00
2024-06-03 13:15:00,192.9083,193.6039,192.8284,193.5476,1351809,2024-06-03 13:15:00
2024-06-03 13:30:00,193.5376,193.8322,193.5276,193.6910,922730,2024-06-03 13:30:00
2024-06-03 13:45:00,193.7107,193.7773,193.2978,193.3877,809297,2024-06-03 13:45:00
2024-06-03 14:00:00,193.3877,193.4377,192.8883,192.9283,932870,2024-06-03 14:00:00
2024-06-03 14:15:00,192.9183,193.1880,192.8683,192.8783,896189,2024-06-03 14:15:00
2024-06-03 14:30:00,192.8783,193.2978,192.8683,192.9986,830948,2024-06-03 14:30:00
2024-06-03 14:45:00,192.9982,193.0531,192.6886,192.8283,1034929,2024-06-03 14:45:00
2024-06-03 15:00:00,192.8184,192.9383,192.7235,192.8485,874648,2024-06-03 15:00:00
2024-06-03 15:15:00,192.8584,193.2379,192.8184,193.1320,1044523,2024-06-03 15:15:00
2024-06-03 15:30:00,193.1380,193.4377,193.0581,193.2489,1417493,2024-06-03 15:30:00
2024-06-03 15:45:00,193.2479,193.8872,193.1181,193.8672,3701182,2024-06-03 15:45:00
2024-06-03 16:00:00,193.8672,194.1768,192.0293,193.9771,12140017,2024-06-03 16:00:00
2024-06-03 16:15:00,193.8073,194.0670,193.8073,193.9371,64875,2024-06-03 16:15:00
2024-06-03 16:30:00,193.9171,194.0570,193.8073,193.9970,52349,2024-06-03 16:30:00
2024-06-03 16:45:00,193.9921,201.5102,193.3877,193.8961,42783,2024-06-03 16:45:00
2024-06-03 17:00:00,193.8672,205.6972,189.2890,193.8672,7045,2024-06-03 17:00:00
2024-06-03 17:15:00,193.8772,193.9271,193.8572,193.8822,8794,2024-06-03 17:15:00
2024-06-03 17:30:00,193.8572,193.9071,189.7619,193.8222,7085,2024-06-03 17:30:00
2024-06-03 17:45:00,193.8222,193.8772,193.8073,193.8422,23542,2024-06-03 17:45:00
2024-06-03 18:00:00,193.8772,193.8872,193.8073,193.8872,11297,2024-06-03 18:00:00
2024-06-03 18:15:00,193.8872,193.9071,193.8173,193.8972,5321,2024-06-03 18:15:00
2024-06-03 18:30:00,193.8572,194.0670,193.8572,193.8972,9175,2024-06-03 18:30:00
2024-06-03 18:45:00,193.8972,193.8972,193.8073,193.8372,9352,2024-06-03 18:45:00
2024-06-03 19:00:00,193.8422,193.8772,193.8073,193.8272,3361,2024-06-03 19:00:00
2024-06-03 19:15:00,193.8522,193.8972,193.8123,193.8123,4968,2024-06-03 19:15:00
2024-06-03 19:30:00,193.8173,193.8772,193.8073,193.8622,5748,2024-06-03 19:30:00
2024-06-03 19:45:00,193.8772,193.8972,193.8073,193.8772,8875,2024-06-03 19:45:00
2024-06-04 04:00:00,194.1069,194.1069,193.2279,193.2279,9409,2024-06-04 04:00:00
2024-06-04 04:15:00,193.2279,193.5775,193.1980,193.3877,7708,2024-06-04 04:15:00
2024-06-04 04:30:00,193.4177,193.4277,193.1880,193.3778,2714,2024-06-04 04:30:00
2024-06-04 04:45:00,193.3778,193.3778,193.0481,193.1081,5622,2024-06-04 04:45:00
2024-06-04 05:00:00,193.1680,193.1880,192.8783,193.0481,5470,2024-06-04 05:00:00
2024-06-04 05:15:00,192.9982,193.0082,192.7984,192.9782,5892,2024-06-04 05:15:00
2024-06-04 05:30:00,192.9582,193.2479,192.9582,193.1980,4651,2024-06-04 05:30:00
2024-06-04 05:45:00,193.1880,193.2379,192.9782,193.0182,6505,2024-06-04 05:45:00
2024-06-04 06:00:00,192.9882,193.0381,192.7984,192.9183,2993,2024-06-04 06:00:00
2024-06-04 06:15:00,193.0082,193.2379,193.0082,193.1980,4133,2024-06-04 06:15:00
2024-06-04 06:30:00,193.1680,193.1780,193.0282,193.1280,1554,2024-06-04 06:30:00
2024-06-04 06:45:00,193.1580,193.1580,193.0481,193.1280,1787,2024-06-04 06:45:00
2024-06-04 07:00:00,193.1580,193.2779,193.1081,193.1780,8791,2024-06-04 07:00:00
2024-06-04 07:15:00,193.1580,193.4377,193.1181,193.3578,10080,2024-06-04 07:15:00
2024-06-04 07:30:00,193.3478,193.6674,193.3478,193.6574,8910,2024-06-04 07:30:00
2024-06-04 07:45:00,193.6474,193.7074,193.3778,193.4277,12617,2024-06-04 07:45:00
2024-06-04 08:00:00,193.2279,194.1968,192.7867,193.4177,65754,2024-06-04 08:00:00
2024-06-04 08:15:00,193.3378,193.8073,193.3278,193.5326,6699,2024-06-04 08:15:00
2024-06-04 08:30:00,193.5326,193.8073,193.4177,193.5858,24208,2024-06-04 08:30:00
2024-06-04 08:45:00,193.5476,193.7773,193.4677,193.6574,19087,2024-06-04 08:45:00
2024-06-04 09:00:00,193.7535,193.8173,193.5875,193.8073,24925,2024-06-04 09:00:00
2024-06-04 09:15:00,193.8023,194.6463,193.6474,194.3866,155050,2024-06-04 09:15:00
2024-06-04 09:30:00,194.4116,194.7762,193.1081,193.1780,4210405,2024-06-04 09:30:00
2024-06-04 09:45:00,193.2030,193.4177,192.8126,192.9582,2061582,2024-06-04 09:45:00
2024-06-04 10:00:00,192.9582,193.5875,192.8584,193.2679,2595921,2024-06-04 10:00:00
2024-06-04 10:15:00,193.2708,193.8572,193.2279,193.8073,1430636,2024-06-04 10:15:00
2024-06-04 10:30:00,193.8023,194.1768,193.4377,193.9970,1874570,2024-06-04 10:30:00
2024-06-04 10:45:00,193.9921,194.0170,193.5875,193.9572,1209606,2024-06-04 10:45:00
2024-06-04 11:00:00,193.9671,194.0470,193.6325,193.6774,1029252,2024-06-04 11:00:00
2024-06-04 11:15:00,193.6774,194.0570,193.6574,193.8272,918877,2024-06-04 11:15:00
2024-06-04 11:30:00,193.8322,193.8772,193.4926,193.8372,885839,2024-06-04 11:30:00
2024-06-04 11:45:00,193.8372,193.9571,193.5975,193.6274,899525,2024-06-04 11:45:00
2024-06-04 12:00:00,193.6225,194.0170,193.6225,194.0170,764479,2024-06-04 12:00:00
2024-06-04 12:15:00,194.0170,194.2667,193.7277,194.2468,1043990,2024-06-04 12:15:00
2024-06-04 12:30:00,194.2468,194.5864,194.1169,194.5164,1128080,2024-06-04 12:30:00
2024-06-04 12:45:00,194.5164,194.5964,194.2567,194.3017,718622,2024-06-04 12:45:00
2024-06-04 13:00:00,194.3017,194.5164,194.1569,194.4665,627814,2024-06-04 13:00:00
2024-06-04 13:15:00,194.4666,194.5964,194.3217,194.5814,834078,2024-06-04 13:15:00
2024-06-04 13:30:00,194.5864,194.6363,194.1868,194.3267,930218,2024-06-04 13:30:00
2024-06-04 13:45:00,194.3267,194.4965,194.2268,194.3466,593437,2024-06-04 13:45:00
2024-06-04 14:00:00,194.3466,194.6962,194.3153,194.6962,935412,2024-06-04 14:00:00
2024-06-04 14:15:00,194.7062,195.0958,194.6963,195.0109,2594472,2024-06-04 14:15:00
2024-06-04 14:30:00,195.0059,195.0958,194.7162,194.8860,958269,2024-06-04 14:30:00
2024-06-04 14:45:00,194.8860,194.9260,194.4166,194.4465,933893,2024-06-04 14:45:00
2024-06-04 15:00:00,194.4365,194.4815,193.7074,193.9921,1813039,2024-06-04 15:00:00
2024-06-04 15:15:00,193.9872,194.3267,193.9471,194.2817,1366389,2024-06-04 15:15:00
2024-06-04 15:30:00,194.2817,194.5664,194.1119,194.5614,1297222,2024-06-04 15:30:00
2024-06-04 15:45:00,194.5614,194.6463,193.9571,194.1419,2755333,2024-06-04 15:45:00
2024-06-04 16:00:00,194.1419,194.2767,193.8572,194.2218,15430000,2024-06-04 16:00:00
2024-06-04 16:15:00,194.2068,194.2368,194.0370,194.1569,53128,2024-06-04 16:15:00
2024-06-04 16:30:00,194.1569,194.1768,194.0819,194.1369,61992,2024-06-04 16:30:00
2024-06-04 16:45:00,194.1669,198.7533,193.1730,194.1770,1247208,2024-06-04 16:45:00
2024-06-04 17:00:00,194.1768,194.2368,167.8071,194.0570,8248,2024-06-04 17:00:00
2024-06-04 17:15:00,194.1069,194.1768,194.0370,194.1369,3043,2024-06-04 17:15:00
2024-06-04 17:30:00,194.1369,194.4915,192.6935,194.1669,127471,2024-06-04 17:30:00
2024-06-04 17:45:00,194.1469,194.2168,194.1219,194.1762,7692,2024-06-04 17:45:00
2024-06-04 18:00:00,194.1469,194.2268,194.1269,194.1868,608243,2024-06-04 18:00:00
2024-06-04 18:15:00,194.2068,194.2368,194.1669,194.2268,1858,2024-06-04 18:15:00
2024-06-04 18:30:00,194.2368,194.2468,194.1768,194.2218,1390,2024-06-04 18:30:00
2024-06-04 18:45:00,194.2068,194.3666,194.2068,194.2867,5568,2024-06-04 18:45:00
2024-06-04 19:00:00,194.2767,194.7762,194.2567,194.3716,7195,2024-06-04 19:00:00
2024-06-04 19:15:00,194.3716,194.5364,194.2967,194.4565,5671,2024-06-04 19:15:00
2024-06-04 19:30:00,194.4565,194.5065,194.2767,194.4266,5539,2024-06-04 19:30:00
2024-06-04 19:45:00,194.3367,194.4266,194.2767,194.3916,7471,2024-06-04 19:45:00
2024-06-05 04:00:00,194.6463,194.9759,194.6163,194.9260,11006,2024-06-05 04:00:00
2024-06-05 04:15:00,194.9060,194.9759,194.4365,194.5764,10201,2024-06-05 04:15:00
2024-06-05 04:30:00,194.5364,194.6763,194.4965,194.6763,3312,2024-06-05 04:30:00
2024-06-05 04:45:00,194.6763,194.6763,194.5764,194.5864,2303,2024-06-05 04:45:00
2024-06-05 05:00:00,194.5964,194.7362,194.5964,194.6563,9497,2024-06-05 05:00:00
2024-06-05 05:15:00,194.6363,194.6962,194.4465,194.5564,4232,2024-06-05 05:15:00
2024-06-05 05:30:00,194.5264,194.5364,194.3267,194.4166,11044,2024-06-05 05:30:00
2024-06-05 05:45:00,194.4865,194.5764,194.4365,194.5164,3625,2024-06-05 05:45:00
2024-06-05 06:00:00,194.4565,194.5464,194.3866,194.5464,2264,2024-06-05 06:00:00
2024-06-05 06:15:00,194.5464,194.7062,194.4765,194.6563,6789,2024-06-05 06:15:00
2024-06-05 06:30:00,194.6663,194.7262,194.5065,194.5264,7801,2024-06-05 06:30:00
2024-06-05 06:45:00,194.6063,194.7162,194.3866,194.5464,13686,2024-06-05 06:45:00
2024-06-05 07:00:00,194.5564,194.7062,194.4266,194.5764,11870,2024-06-05 07:00:00
2024-06-05 07:15:00,194.5764,194.6763,194.4166,194.5764,21024,2024-06-05 07:15:00
