,Open,High,Low,Close,Volume,Datetime
2024-05-01 04:00:00,170.4012,170.4012,169.2740,169.3738,16417,2024-05-01 04:00:00
2024-05-01 04:15:00,169.3738,169.5034,169.0845,169.2441,3993,2024-05-01 04:15:00
2024-05-01 04:30:00,169.2441,169.2640,169.0845,169.2142,4251,2024-05-01 04:30:00
2024-05-01 04:45:00,169.2042,169.3638,169.0945,169.3538,3764,2024-05-01 04:45:00
2024-05-01 05:00:00,169.3239,169.3738,168.9049,169.0346,8963,2024-05-01 05:00:00
2024-05-01 05:15:00,169.0446,169.2541,168.8750,169.1443,5283,2024-05-01 05:15:00
2024-05-01 05:30:00,169.1144,169.1144,168.9249,168.9249,1527,2024-05-01 05:30:00
2024-05-01 05:45:00,168.9249,169.3339,168.9249,169.1543,2070,2024-05-01 05:45:00
2024-05-01 06:00:00,169.1443,169.7428,169.0446,169.5433,13957,2024-05-01 06:00:00
2024-05-01 06:15:00,169.5334,169.5433,169.3837,169.4536,1514,2024-05-01 06:15:00
2024-05-01 06:30:00,169.4336,169.5034,169.3039,169.5034,3027,2024-05-01 06:30:00
2024-05-01 06:45:00,169.5034,169.9024,169.5034,169.7827,7885,2024-05-01 06:45:00
2024-05-01 07:00:00,169.7029,169.7728,169.4935,169.5533,12048,2024-05-01 07:00:00
2024-05-01 07:15:00,169.5433,169.6032,169.3837,169.3837,6742,2024-05-01 07:15:00
2024-05-01 07:30:00,169.4137,169.7229,169.4037,169.6032,12488,2024-05-01 07:30:00
2024-05-01 07:45:00,169.6032,169.6630,169.4336,169.5334,12217,2024-05-01 07:45:00
2024-05-01 08:00:00,169.1789,170.2017,168.8513,169.3039,72968,2024-05-01 08:00:00
2024-05-01 08:15:00,169.3538,169.5234,169.2341,169.3538,41691,2024-05-01 08:15:00
2024-05-01 08:30:00,169.3438,174.4111,169.1643,169.5084,114483,2024-05-01 08:30:00
2024-05-01 08:45:00,169.5633,169.9024,169.4536,169.5334,30290,2024-05-01 08:45:00
2024-05-01 09:00:00,169.5034,169.9024,169.1543,169.2953,42844,2024-05-01 09:00:00
2024-05-01 09:15:00,169.3034,169.7628,169.1743,169.3538,141188,2024-05-01 09:15:00
2024-05-01 09:30:00,169.1543,169.9324,168.6855,169.8226,3049700,2024-05-01 09:30:00
2024-05-01 09:45:00,169.8526,170.2104,169.7528,169.9023,1502501,2024-05-01 09:45:00
2024-05-01 10:00:00,169.8925,170.5209,169.7428,170.3363,1560261,2024-05-01 10:00:00
2024-05-01 10:15:00,170.3363,170.6406,170.0919,170.3862,1614130,2024-05-01 10:15:00
