,Open,High,Low,Close,Volume,Datetime
2024-09-03 04:00:00,5.3600,5.3600,5.2400,5.2400,15,2024-09-03 04:00:00
2024-09-03 04:15:00,5.2300,5.2300,5.2300,5.2300,4,2024-09-03 04:15:00
2024-09-03 04:45:00,5.2200,5.2200,5.2200,5.2200,5,2024-09-03 04:45:00
2024-09-03 07:00:00,5.2400,5.2400,5.2200,5.2200,652,2024-09-03 07:00:00
2024-09-03 07:15:00,5.2300,5.2300,5.2300,5.2300,870,2024-09-03 07:15:00
2024-09-03 07:30:00,5.2300,5.2300,5.2300,5.2300,5,2024-09-03 07:30:00
2024-09-03 08:00:00,5.2491,5.2500,5.2200,5.2500,3349,2024-09-03 08:00:00
2024-09-03 08:15:00,5.2500,5.2594,5.2400,5.2400,132,2024-09-03 08:15:00
2024-09-03 08:30:00,5.2500,5.2500,5.2500,5.2500,100,2024-09-03 08:30:00
2024-09-03 08:45:00,5.2600,5.2600,5.2407,5.2407,1259,2024-09-03 08:45:00
2024-09-03 09:00:00,5.2600,5.2600,5.2300,5.2308,631,2024-09-03 09:00:00
2024-09-03 09:15:00,5.2600,5.2600,5.2500,5.2500,21,2024-09-03 09:15:00
2024-09-03 09:30:00,5.2400,5.2500,5.1850,5.1901,557472,2024-09-03 09:30:00
2024-09-03 09:45:00,5.1900,5.1950,5.1601,5.1734,329771,2024-09-03 09:45:00
2024-09-03 10:00:00,5.1700,5.1799,5.1316,5.1350,214112,2024-09-03 10:00:00
2024-09-03 10:15:00,5.1300,5.1550,5.1200,5.1499,403376,2024-09-03 10:15:00
2024-09-03 10:30:00,5.1401,5.1499,5.1200,5.1299,422823,2024-09-03 10:30:00
2024-09-03 10:45:00,5.1250,5.1297,5.1000,5.1099,248550,2024-09-03 10:45:00
2024-09-03 11:00:00,5.1098,5.1400,5.1000,5.1350,298217,2024-09-03 11:00:00
2024-09-03 11:15:00,5.1400,5.1400,5.1100,5.1200,299991,2024-09-03 11:15:00
